Author,Total_Papers,Collaboration_Papers,Collaboration_Rate
"Min, Sujung",2,0,0.0
"Chu, Won-Shik",1,0,0.0
"Chen, Timothy F.",3,0,0.0
"Yu, Tian",1,0,0.0
"Zhu, Hong",1,0,0.0
"Chen, Ang",4,2,0.5
"Li, Han",2,0,0.0
"Tan, ECTH",1,0,0.0
"Song, Bailin",1,0,0.0
"Tan, Charlene",6,0,0.0
"Chu, Simon",1,0,0.0
"Chen, Chuansheng",3,0,0.0
"Li, SH",1,0,0.0
"Ou, Suh-Ruu",5,0,0.0
"Zhang, Xiaodong",2,0,0.0
"Wen, H. Joseph",2,0,0.0
"Chen, Liang-Hsuan",3,0,0.0
"Man, Michelle",2,0,0.0
"Xing, Tao",2,0,0.0
"Lang, Josephine",3,2,0.6667
"Wang, S",1,0,0.0
"Tan, Mustafa",1,0,0.0
"Qin, Dongxiao",1,0,0.0
"Kang, Minsoo",4,3,0.75
"Kang, Sang-Jo",1,1,1.0
"Xu, Yaoying",6,1,0.1667
"Lang, Jeff",1,0,0.0
"Lin, Anli",1,0,0.0
"Pan, Wei",4,2,0.5
"Song, HD",1,0,0.0
"Wang, Shiang-Kwei",4,0,0.0
"Wan, Yinmei",2,0,0.0
"Zhang, Ke",7,2,0.2857
"Chao, Joseph T.",1,0,0.0
"Yang, Samuel",1,1,1.0
"Zhang, Yi",4,2,0.5
"Huang, Terry T-K.",1,1,1.0
"Li, Chaoyang",1,1,1.0
"Huang, YP",1,0,0.0
"Song, KH",1,0,0.0
"Wang, CCDC",1,0,0.0
"Huan, Vivien S.",1,0,0.0
"Du, Xiang-Yun",39,14,0.359
"Zhang, Jizhi",1,0,0.0
"Chen, Charlie C.",1,0,0.0
"Luo, JS",1,0,0.0
"Xiang, P",1,1,1.0
"Sun, JC",2,0,0.0
"Hong, E",3,0,0.0
"Tan, Emily B.",1,0,0.0
"Chang, MJ",7,0,0.0
"Wang, Qi",3,1,0.3333
"Yang, Rui",7,1,0.1429
"Duan, Bing",1,1,1.0
"Ling, Keck Voon",1,1,1.0
"Luo, John S.",2,1,0.5
"Song, SY",1,0,0.0
"Li, Chunyan",2,0,0.0
"Wei, Cheng-i",1,1,1.0
"Wen, Xiaoli",2,1,0.5
"Yang, Heayoung",1,1,1.0
"Wu, Mingxuan",1,1,1.0
"Yu, Ping",2,1,0.5
"Chen, WL",1,0,0.0
"Hua, Youjia",8,2,0.25
"Bie, Maria Bouverne-De",1,0,0.0
"Chen, Yi-ning",2,1,0.5
"Zhang, XR",1,0,0.0
"Cheng, LY",1,1,1.0
"Wang, H",1,1,1.0
"Zhao, Jensen J.",2,0,0.0
"Ding, Xin",1,0,0.0
"Kang, HJ",1,0,0.0
"Zou, Bin",1,0,0.0
"Jiang, Keyuan",1,0,0.0
"Cai, Yuzhuo",16,3,0.1875
"Chen, Jing",2,0,0.0
"Huang, S. S.",1,0,0.0
"Li, Jun Corser",1,0,0.0
"Zhu, Erping",1,0,0.0
"Zhang, Sijing",1,0,0.0
"Wang, Jia",5,1,0.2
"Tong, Lowell",5,1,0.2
"Huang, FT",1,0,0.0
"Qu, Zhihua",1,1,1.0
"Wu, Xiaohe",1,1,1.0
"Zheng, Robert",4,1,0.25
"Zhou, Bei",1,1,1.0
"Cheng, David X.",1,1,1.0
"Zhao, Chun-Mei",2,1,0.5
"Han, Han",3,0,0.0
"Ding, Lin",17,3,0.1765
"Yu, RS",1,0,0.0
"Cheng, Betty H. C.",1,1,1.0
"Weng, Juyang",1,1,1.0
"Lin, William",1,0,0.0
"Liu, Jinghua",1,0,0.0
"Li, Na",2,0,0.0
"Long, LR",1,0,0.0
"Liu, TK",1,1,1.0
"Ye, JB",1,1,1.0
"Ling, B",1,0,0.0
"Liang, DTW",1,0,0.0
"Chen, Hongwei",2,0,0.0
"Ling, Lim Hwee",1,0,0.0
"Gu, Qing",9,0,0.0
"Fang, Fang Clara",1,0,0.0
"Yin, Zenong",2,1,0.5
"Lin, Linda J.",1,0,0.0
"Kang, R.",1,0,0.0
"Chang, Elisa",1,0,0.0
"Rao, Vinod",1,0,0.0
"Tan, LHC",3,0,0.0
"Hui, Xie",1,0,0.0
"Liu, Yan",10,3,0.3
"Rao, Rahul",1,0,0.0
"Tan, Oon-Seng",2,0,0.0
"Wang, Xin Qun",1,0,0.0
"Wang, Minjuan",10,2,0.2
"Sun, Y.",1,1,1.0
"Wu, J.",1,1,1.0
"Chi, Michelene T. H.",6,3,0.5
"Liu, Yongbing",1,1,1.0
"Zhao, Shouhui",1,1,1.0
"Nie, Ming",7,0,0.0
"Han, Jinghe",6,0,0.0
"Tan, Chay Hoon",1,0,0.0
"Chen, Sixue",1,0,0.0
"Fan, Lianghuo",3,1,0.3333
"Zhu, Yan",2,1,0.5
"Tai, Robert H.",17,0,0.0
"Lin, Swu-Jane",2,0,0.0
"Huang, Xu",1,0,0.0
"Wei, Michael",2,1,0.5
"Li, Nai",5,0,0.0
"Kong, Lily",1,0,0.0
"Lang, Valerie",4,0,0.0
"Wei, Min",1,1,1.0
"Zha, Peijia",3,2,0.6667
"Zhang, James",3,0,0.0
"Shen, E.",3,1,0.3333
"Li, Peter",2,1,0.5
"Zong, Li",1,1,1.0
"Chang, June C.",2,1,0.5
"Chang, Ming-Mei",4,1,0.25
"Guo, Shibao",8,3,0.375
"Lai, Kwok-Wing",7,1,0.1429
"Hui, Diane",1,0,0.0
"Lao, Eang",1,0,0.0
"Chen, Timothy",1,0,0.0
"Chi, Winny (YanFang)",1,0,0.0
"Huang, Rong",11,3,0.2727
"Li, Daguo",3,0,0.0
"Lin, Muh",2,0,0.0
"Huang, Hung-Tzu",1,0,0.0
"Han, S. Duke",1,0,0.0
"Tong, Ye",1,0,0.0
"Huang, Jiun-Hau",1,0,0.0
"Deng, Yi",1,1,1.0
"Lei, Chao",1,1,1.0
"Ye, Zuo-Guang",1,1,1.0
"Dai, Chifeng",1,0,0.0
"Li, Sarah",1,0,0.0
"Bian, Hui",4,0,0.0
"Liu, Yili",2,0,0.0
"Chen, Yi-Chuen",1,0,0.0
"Long, Joyce F.",1,0,0.0
"Ma, Shang-Min",1,0,0.0
"Zhang, Michael",2,1,0.5
"Jin, Li",8,1,0.125
"Wei, Na",1,0,0.0
"Lu, Ruiling",1,0,0.0
"Chen, W. William",1,0,0.0
"Dai, David Yun",4,1,0.25
"Lang, D.",1,0,0.0
"Wang, Jinhao",1,0,0.0
"Wang, Ye",12,2,0.1667
"Liu, Leping",3,1,0.3333
"Li, Su",1,1,1.0
"Sun, Han",1,1,1.0
"Lin, Hong",2,0,0.0
"Kang, Dae Joong",2,0,0.0
"Zhuang, Hanqi",1,0,0.0
"Lang, Jonas W. B.",2,0,0.0
"Chen, Yu Sui",3,1,0.3333
"Long, Bridget Terry",8,0,0.0
"Zhang, Qin",3,0,0.0
"Xu, Judy",2,2,1.0
"Zhou, George",6,4,0.6667
"Hu, Shouping",51,12,0.2353
"Tan, Justina",1,0,0.0
"Wang, Po",1,0,0.0
"Jiang, Cindy Xinquan",1,0,0.0
"Leng, Paul H.",1,0,0.0
"Xie, Kui",23,11,0.4783
"Huang, Wayne",1,1,1.0
"Lu, Eric Y.",1,1,1.0
"Ma, Hongyan",1,1,1.0
"Hong, Barbara S. S.",2,0,0.0
"Zhou, Ling-Yi",1,0,0.0
"Han, June C.",1,0,0.0
"Jiang, Nan",2,0,0.0
"Pan, Cheng-Chang (Sam)",1,0,0.0
"Cheng, Simon",1,0,0.0
"Wang, Lihui",1,0,0.0
"Lai, James",1,0,0.0
"Chang, Kyungwon",1,1,1.0
"Kang, Inae",1,1,1.0
"Song, Liyan",3,1,0.3333
"Shen, Bo",3,2,0.6667
"Wang, Tao",3,3,1.0
"Jia, Dongdong",3,1,0.3333
"Guo, Jing",3,0,0.0
"Ma, Yiwei",1,1,1.0
"Liang, Yuhua",1,0,0.0
"Zhang, Xiaolong",1,0,0.0
"Zhang, Weihong",1,0,0.0
"Chen, Hongbin",1,0,0.0
"Wang, Yongyi",1,0,0.0
"Cao, Li",7,2,0.2857
"Liang, Christopher T. H.",1,1,1.0
"Liang, Mandy X.",1,1,1.0
"Teng, S. Gary",1,0,0.0
"Liang, Xin",4,0,0.0
"Chu, Singfat",1,0,0.0
"Gong, Bowyee",1,0,0.0
"Xu, Haixia",1,0,0.0
"Li, Tiger",1,0,0.0
"Tai, Emily",1,0,0.0
"Zheng, Peijun",2,0,0.0
"Deng, Hongjie",1,0,0.0
"Wang, Zhongmiao",1,0,0.0
"Min, Kyung-Seok",1,0,0.0
"Liang, Priscilla",1,0,0.0
"Hong, Sehee",6,1,0.1667
"Min, Sae-Young",1,1,1.0
"Long, Susan M.",1,0,0.0
"Tan, Christine J.",1,0,0.0
"Lang, M. J.",1,0,0.0
"Cheng, An",2,0,0.0
"Ding, Anning",1,0,0.0
"Chen, Yinong",2,2,1.0
"Cheng, Calvin",1,1,1.0
"Sun, Xin",2,1,0.5
"Huang, Winston",1,0,0.0
"Xu, Xiaoti",1,0,0.0
"Que, Joyce Jamilla",1,0,0.0
"Suo, Shannon",2,2,1.0
"Chang, Barbara K.",4,0,0.0
"Huang, Grace C.",15,1,0.0667
"Chang, Chew-Hung",1,1,1.0
"Zhang, Jun",2,2,1.0
"Tan, Amy",3,0,0.0
"Chong, Wei Ling",1,1,1.0
"Hu, Wei Sheng",1,1,1.0
"Ling, Ooi Giok",1,0,0.0
"Chen, Qingxia",1,0,0.0
"Li, Mingsheng",2,0,0.0
"Wang, Calvin",1,0,0.0
"Wang, Xin-Qun",1,0,0.0
"Wang, Li Yan",1,1,1.0
"Gan, Christopher E. C.",1,0,0.0
"Du, XY",2,0,0.0
"Long, Lori K.",2,0,0.0
"Yang, Song",1,0,0.0
"Cong, Xiaosi",1,1,1.0
"Zhao, Qin",5,4,0.8
"Wang, Shudong",2,1,0.5
"Li, Linda Y.",3,1,0.3333
"Lu, Fong-Mei",1,0,0.0
"Lai, Kelvin",1,0,0.0
"Cheng, Stephen S.",1,0,0.0
"Le, An-Phong",1,0,0.0
"Er, Nelson",1,0,0.0
"Dong, Cheng",1,0,0.0
"Rao, Akkinepally Raghuram",1,0,0.0
"Liu, Pei-Ju",1,0,0.0
"Chen, Jennifer Jun-Li",1,0,0.0
"Tan, Po Li",2,0,0.0
"Wang, Shirley S.",1,0,0.0
"Wu, X. B.",1,0,0.0
"Cheng, Harry H.",2,1,0.5
"Long, Mark C.",12,0,0.0
"Zhu, Chang",53,9,0.1698
"Zhang, James Z.",1,0,0.0
"Bao, Lei",18,9,0.5
"Chen, Shiue",1,0,0.0
"Han, Jaesu",1,0,0.0
"Li, Huijun",1,0,0.0
"Liao, Hsin-Ya",3,2,0.6667
"Wang, Ying-Fen",1,1,1.0
"Long, Michael",1,0,0.0
"Chang, Shu-Hui Hsieh",1,0,0.0
"Wu, Max B.",1,0,0.0
"Zhao, J.",2,0,0.0
"Li, Xiaoming",7,6,0.8571
"Wang, Bo",3,2,0.6667
"Wang, Cecilia Chu",1,0,0.0
"Chi, Robert",1,0,0.0
"Jiang, Xiaoyue",1,0,0.0
"Zhang, Guili",5,1,0.2
"Feng, Bo",1,0,0.0
"Huang, Chih-Hsun",1,1,1.0
"Yi, Jenny K.",1,1,1.0
"Cheng, Liying",8,2,0.25
"Chu, Hye-Eun",5,0,0.0
"Li, Qing",6,1,0.1667
"Tang, Jiong",1,1,1.0
"Yan, Jie",2,0,0.0
"Liu, Yingjie",3,0,0.0
"Xiao, Yun",1,0,0.0
"Cheng, Jacqueline H. S.",2,0,0.0
"Zheng, Robert Z.",2,0,0.0
"Liu, Xiufeng",11,3,0.2727
"Tan, Kim Chwee Daniel",5,2,0.4
"Jiao, Hong",1,1,1.0
"Xu, Yonghong Jade",8,0,0.0
"Chen, Wei-Fan",10,0,0.0
"Tan, Kelvin H. K.",2,0,0.0
"Zhang, Zhao",1,0,0.0
"Chu, Hui-Wen",1,0,0.0
"Cheng, Tina L.",1,0,0.0
"Cheng, Lee",1,0,0.0
"Chen, Rong",12,0,0.0
"Wang, Hong",4,0,0.0
"Gao, Zan",3,1,0.3333
"Xiang, Ping",13,10,0.7692
"Le, Khoa",1,0,0.0
"Song, Kim",2,0,0.0
"Er, Nelson L.",1,0,0.0
"Ma, Xin",6,3,0.5
"Zhou, Shuangmei",1,0,0.0
"Chen, Ching-Huei",1,1,1.0
"Ge, Xun",7,5,0.7143
"Yu, Kumlan",1,0,0.0
"Ke, Fengfeng",16,11,0.6875
"Xie, Ying",5,5,1.0
"Guo, Ruth Xiaoqing",1,0,0.0
"Zhong, Li",1,0,0.0
"Liang, Willmann",2,0,0.0
"Shen, Jianping",5,4,0.8
"Shen, Helen H.",1,0,0.0
"Chang, Luh-Maan",1,0,0.0
"Chang, Shu-Mei",1,0,0.0
"Huang, Yan",1,0,0.0
"Song, Moohoun",1,0,0.0
"Dong, Lili",1,0,0.0
"Hu, Jie",3,0,0.0
"Hui, Loi Teck",1,0,0.0
"Ni, Q.",1,0,0.0
"Fang, Lin",3,2,0.6667
"You, Zhuran",1,0,0.0
"Hu, Anne",1,0,0.0
"Yang, Sung-Un",1,0,0.0
"Chen, Rainbow Tsai-Hung",1,0,0.0
"Zhang, Bo",2,0,0.0
"Dai, Tao",1,0,0.0
"Fan, Xitao",3,0,0.0
Xu Jing,1,0,0.0
"Yin, Yue",6,2,0.3333
"Lin, Yih-Sheue",1,0,0.0
"Zhang, Jianwei",1,0,0.0
"Lin, Monica H.",2,0,0.0
"Wei, Youhua",1,0,0.0
"Chen, Helen L.",8,2,0.25
"Bai, Haiyan",4,2,0.5
"Li, Wei",13,6,0.4615
"Chang, Beng",1,0,0.0
"Zhang, Liang",22,9,0.4091
"Mi, Han-Fu",1,0,0.0
"Lu, Chunlei",2,1,0.5
"Fang, Ning",26,8,0.3077
"Lu, Le-Wu",1,1,1.0
"Zhang, Yunfeng",1,1,1.0
"Ma, Wen",1,0,0.0
"Zou, Jie",1,0,0.0
"Duan, Zhong-Hui",2,1,0.5
"Ling, Peter",3,0,0.0
"Tong, Lillian",1,0,0.0
"Wang, Lih-Ching Chen",1,0,0.0
"Chang, Mitchell J.",9,0,0.0
"Xiao, Lily Dongxia",3,0,0.0
"Long, Kathleen",1,0,0.0
"Wang, Victor C. X.",10,0,0.0
"Zhou, Yuefang",1,0,0.0
"Chen, Yangquan",1,0,0.0
"Qian, Jun",1,0,0.0
"Fang, Zhihui",7,1,0.1429
"Lin, Yuan",2,1,0.5
"Yuan, Robert T.",2,2,1.0
"Li, Maozhen",1,0,0.0
"Lan, William",5,1,0.2
"Li, Dai",2,0,0.0
"Yue, Audrey",1,0,0.0
"Liu, Mengxiong",1,0,0.0
"Kang, Jina",10,7,0.7
"Wang, Ben",1,1,1.0
"Wang, Yinhai",1,0,0.0
"Shen, Demei",3,0,0.0
"Yu, Gigi Schroeder",1,0,0.0
"Chai, Ching-Sing",2,2,1.0
"Tan, Seng-Chee",3,2,0.6667
"Li, Su-Ting T.",6,0,0.0
"Yu, Tzu-Chieh",4,0,0.0
"Wu, Bob J.",1,0,0.0
"Cao, Chen",1,0,0.0
"He, Xiaohua",2,1,0.5
"Zhang, Niu",5,1,0.2
"Le, Ada",3,1,0.3333
"Wu, Chia-Huei",2,0,0.0
"Sang, Katherine",1,0,0.0
"Yang, Julius J.",2,0,0.0
"Rao, B. Venkateswara",1,0,0.0
"Pan, Richard J.",2,0,0.0
"Chen, Xinguang",1,1,1.0
"Hong, Yan",1,1,1.0
"Liu, Woon Chia",4,1,0.25
"Long, G.",2,0,0.0
"Wang, Yanping",1,0,0.0
"Lai, Mei Kuin",2,0,0.0
"Lang, Jonathan",1,0,0.0
"Chang, Tina A.",1,0,0.0
"Chang, David Y.",1,0,0.0
"Tan, Rachael J. B.",2,0,0.0
"Tang, Tricia S.",2,0,0.0
"Hong, Chia Swee",1,1,1.0
"Mu, Keli",2,1,0.5
"Wang, Yuping",7,3,0.4286
"Yun, Kimo",1,0,0.0
"Tang, Thomas Li-Ping",2,0,0.0
"Kong, Alberta S.",2,0,0.0
"Gao, Lian-Yong",1,1,1.0
"Song, Wenxia",3,2,0.6667
"Ha, Eun-Jeong",2,0,0.0
"Lin, Lin",18,4,0.2222
"Liu, Yuliang",3,1,0.3333
"Zhang, Jing",10,5,0.5
"Ban, Nobutaro",6,0,0.0
"Li, Hongli",9,3,0.3333
"Tai, Robert",2,0,0.0
"Yi, Yeong-Houn",1,0,0.0
"Kang, Jennifer Yusun",1,0,0.0
"Li, Linda",3,0,0.0
"Wang, Jinghui",1,1,1.0
"Xing, Minjie",2,2,1.0
"Rao, Pratima",1,0,0.0
"Dai, Amy H.",1,0,0.0
"Wang, Shuping",2,1,0.5
"Chang, Kyungsuk",1,0,0.0
"Xu, Xiaowei",2,0,0.0
"Li, Yan",5,1,0.2
"Ming, Kavin",1,0,0.0
"Liu, Shujie",2,2,1.0
"Meng, Lingqi",2,2,1.0
"Hong, Junhee",1,0,0.0
"Fei, Fei",2,2,1.0
"Lai, Chun",1,1,1.0
"Yu, SeonYeong",2,0,0.0
"Li, Pengtao",1,0,0.0
"Zhou, Zheng",2,0,0.0
"Luo, Ningsu",1,0,0.0
"Shen, Rui",1,0,0.0
"Song, Young Imm Kang",3,0,0.0
"Wu, Annie S.",1,0,0.0
"Ye, Huan Jacqueline",1,0,0.0
"Zhou, Yanfei",1,0,0.0
"Feng, Anwei",1,0,0.0
"Wang, Shei-Chau",1,0,0.0
"Wu, Jinlu",1,0,0.0
"Wei, Bong Chin",1,0,0.0
"Wang, ShiPu",1,0,0.0
"Chang, Vanessa",1,0,0.0
"Wang, Naixia",1,0,0.0
"Lu, Tracy (Ying)",2,0,0.0
"Chen, Tiffany L.",1,0,0.0
"Tang, Chin Pei",1,0,0.0
"Lang, Thomas R.",1,0,0.0
"Tan, Wah Kiat",1,0,0.0
"Cheng, Hsiu-Lan",9,1,0.1111
"Chen, F. -H.",1,1,1.0
"Chen, W.",2,2,1.0
"Chen, Xiaoqing",1,1,1.0
"Li, Shaofeng",5,2,0.4
"Wang, Ying",10,1,0.1
"Tan, Aik Ling",3,0,0.0
"Chai, Lau Teck",1,1,1.0
"Hong, Yeoh Kim",1,1,1.0
"Liu, Dilin",3,0,0.0
"Ling, Lorraine",3,0,0.0
"Hou, Su-I",4,0,0.0
"Lai, Alan",1,0,0.0
"Zhu, Chuanyan",1,0,0.0
"Zhang, Hangjin",1,0,0.0
"Zhang, Jie",18,5,0.2778
"An, Lawrence C.",2,0,0.0
"Chen, Peggy P.",1,0,0.0
"Wu, Joanne",1,0,0.0
"Zha, Qiang",11,1,0.0909
"Cheng, Dorothy",1,0,0.0
"Min, Elana",1,0,0.0
"Wang, Jui-Ching",1,0,0.0
"Pan, Daphne",1,1,1.0
"Tan, Gary S. H.",1,1,1.0
"Shi, Yixun",1,0,0.0
"Wang, Xueli",34,10,0.2941
"Chen, Li",3,2,0.6667
"Chong, Eric",1,0,0.0
"Ma, Zhong",1,0,0.0
"Yu, May Leen",1,0,0.0
"Guo, Chengqi",1,0,0.0
"Heng, Mary Anne",1,0,0.0
"Yu, Dickie C. T.",1,0,0.0
"Cheng, Rui",3,0,0.0
"Feng, Gary",3,2,0.6667
"Huang, Francis L.",8,1,0.125
"Lang, Daniel",2,0,0.0
"Liu, Yufang",1,0,0.0
"Yu, Shasha",1,0,0.0
"Tan, Edna",5,0,0.0
"Zhang, Christabel",1,0,0.0
"Sun, Shanghua",1,0,0.0
"Huang, Yinmei",1,0,0.0
"Chen, Chang-Hua",2,0,0.0
"Yu, C. T.",3,0,0.0
"Tan, A.",2,0,0.0
"Ding, Cody S.",2,0,0.0
"Huang, Futao",28,7,0.25
"Hong, Ye Yoon",2,0,0.0
"Ju, Young-Su",1,0,0.0
"Han, Kerem",1,0,0.0
"Gao, Ping",4,2,0.5
"Rao, Shaila M.",2,0,0.0
"Zhu, Fan",1,0,0.0
"Cui, Lili",2,2,1.0
"Han, Jing",7,6,0.8571
"Wang, Jing",5,4,0.8
"Xin, Yan Ping",5,3,0.6
"Zhang, Lei",2,1,0.5
"Wan, Thomas T. H.",1,0,0.0
"Rao, Gottipaty",1,0,0.0
"Ha, Louisa",3,3,1.0
"Lin, Canchu",2,2,1.0
"Zhang, Tianyi",2,1,0.5
"Huang, S. N.",1,1,1.0
"Tan, K. K.",2,1,0.5
"Tang, K. Z.",1,1,1.0
"Li, Xiaobin",5,0,0.0
"Liu, Simon",1,0,0.0
"Han, You-Me",1,0,0.0
"Heng, Chan Swee",1,0,0.0
"Le, Khoa N.",1,0,0.0
"Tan, Siu-Lan",1,0,0.0
"Liang, Ya-Shu",1,0,0.0
"Yang, WeiWei",1,0,0.0
"Lin, Zeng",1,1,1.0
"Wang, Weirong",1,1,1.0
"Wang, Chuang",16,2,0.125
"Feng, Annie",1,0,0.0
"Lai, Ming",1,0,0.0
"Cheng, Ming",19,1,0.0526
"Zhang, Yue",2,1,0.5
"Wang, Winnie W.",1,1,1.0
"Chang, Wonsup",1,0,0.0
"Chu, Mayling",1,0,0.0
"Mi, Hanfu",1,0,0.0
"Ye, Feifei",3,0,0.0
"Zhang, De",1,0,0.0
"Chu, David",1,0,0.0
"Luo, Jiali",4,0,0.0
"Lu, Yi",2,1,0.5
"Chang, I. Joyce",1,1,1.0
"Yao, Yuankun",3,1,0.3333
"Lang, Matthew",1,0,0.0
"Long, Janette",1,0,0.0
"Bao, Liangmei",1,0,0.0
"Han, Li",1,0,0.0
"Lin, Xiaodong",1,0,0.0
"Lai, Nai Ming",2,1,0.5
"Zhang, Ni",3,0,0.0
"Song, Jae W.",1,0,0.0
"Tan, I. Bing",1,0,0.0
"Han, Christine",2,1,0.5
"Wang, Xiaoqian",1,0,0.0
"Chen, H. Carrie",15,1,0.0667
"Zhang, Kehua",3,0,0.0
"Lan, William Y.",1,0,0.0
"Yang, Meiheng",1,0,0.0
"Long, Timothy R.",1,0,0.0
"Hua, Inez",3,2,0.6667
"Cheng, Sau-Keng",1,0,0.0
"Duan, L.",1,0,0.0
"Zhang, Jia",1,0,0.0
"Rao, Sowmya R.",2,0,0.0
"Dang, Kien",3,1,0.3333
"Quan, Hude",1,0,0.0
"Chong, David Weng Kwai",2,1,0.5
"Pei, Wong",1,1,1.0
"Wang, Mimi",1,0,0.0
"Guan, Zhiwei",1,0,0.0
"Rao, Goutham",1,0,0.0
"Long, Donlin M.",2,0,0.0
"Wu, Junlong",1,0,0.0
"Liu, Xiangmin",2,2,1.0
"Hong, Seong Bock",2,0,0.0
"Luan, Wong Su",1,0,0.0
"Huang, Wen-Hao David",8,0,0.0
"Huang, William Y.",1,0,0.0
"Li, Yong",2,0,0.0
"Yan, Zheng",2,1,0.5
"Qu, Ming",2,0,0.0
"Yuan, Boping",2,1,0.5
"Chen, David",3,0,0.0
"Huang, Wen-Hao",2,1,0.5
"Di, Jia",2,0,0.0
"Long, Ju",1,0,0.0
"Long, Tammy M.",10,1,0.1
"Kang, Okim",7,0,0.0
"Qiu, Fang-fang",1,0,0.0
"Du, Chunguang",5,4,0.8
"Rao, G. M.",1,0,0.0
"Tang, Terrill T-L.",2,0,0.0
"Leng, Jane",1,0,0.0
"Hu, Guangwei",14,6,0.4286
"Zhang, Hong-Chao",1,0,0.0
"Chang, Mido",5,0,0.0
"Zhang, Zuochen",7,0,0.0
